layer,metric,attack,rho,pval,n,family,q_per_attack,q_per_family,q_global,sig_per_attack,sig_per_family,sig_global
11,Reg_MeanL2,Steering,-0.3022,0.3156,13,entropy,0.9873,0.9858,0.8094,,,
11,Reg_MeanL2,ICL,0.2963,0.3256,13,entropy,0.4036,0.4830,0.8163,,,
11,Reg_MeanL2,GCG,-0.0829,0.7877,13,entropy,0.9451,0.9080,0.9786,,,
11,Reg_MeanL2,MIA,-0.0659,0.8305,13,entropy,0.9988,0.9252,0.9786,,,
11,Reg_MeanL2,MIA_MinK,0.6667,0.0499,9,entropy,0.6582,0.4876,0.2877,,,
11,Reg_MeanL2,MIA_Ref,0.3167,0.4064,9,entropy,0.9785,0.9794,0.8709,,,
11,Reg_MeanL2,MIA_Hidden,-0.5333,0.1392,9,entropy,0.8354,0.4901,0.5195,,,
11,Reg_MeanL2,SPV_MIA,0.4167,0.2646,9,entropy,0.3441,0.3902,0.7422,,,
11,AnonDiff_S_alpha_2,Steering,0.0824,0.7890,13,entropy,0.9873,0.9858,0.9786,,,
11,AnonDiff_S_alpha_2,ICL,-0.6434,0.0177,13,entropy,0.0407,0.0833,0.1588,*,,
11,AnonDiff_S_alpha_2,GCG,-0.3541,0.2353,13,entropy,0.5531,0.4890,0.7043,,,
11,AnonDiff_S_alpha_2,MIA,0.1648,0.5905,13,entropy,0.9988,0.8205,0.9684,,,
11,AnonDiff_S_alpha_2,MIA_MinK,-0.2833,0.4600,9,entropy,0.9822,0.9120,0.9136,,,
11,AnonDiff_S_alpha_2,MIA_Ref,-0.3333,0.3807,9,entropy,0.9785,0.9794,0.8545,,,
11,AnonDiff_S_alpha_2,MIA_Hidden,0.2000,0.6059,9,entropy,0.9958,0.9847,0.9731,,,
11,AnonDiff_S_alpha_2,SPV_MIA,0.7833,0.0125,9,entropy,0.0452,0.0371,0.1346,*,*,
11,AnonDiff_MeanCos,Steering,0.0604,0.8445,13,entropy,0.9873,0.9858,0.9892,,,
11,AnonDiff_MeanCos,ICL,0.8155,0.0007,13,entropy,0.0112,0.0269,0.0421,*,*,*
11,AnonDiff_MeanCos,GCG,0.5072,0.0769,13,entropy,0.3007,0.2615,0.3567,,,
11,AnonDiff_MeanCos,MIA,-0.2637,0.3839,13,entropy,0.9988,0.7292,0.8563,,,
11,AnonDiff_MeanCos,MIA_MinK,0.1500,0.7001,9,entropy,0.9822,0.9120,0.9786,,,
