model_id,model_short,method,concept,forget_rouge,retain_rouge,base_retain_rouge,qa_accuracy,Centroid_Norm,Global_Coherence,Batch_SecondMoment_TopEig,AUSS_L2,AUSS_Cos2,AUSS_Jac,Batch_Cov_Trace,Batch_Cov_TopEig,has_metrics,Reg_S_alpha_2,Reg_MeanCos,Reg_MeanL2,AnonDiff_S_alpha_2,AnonDiff_MeanL2,AnonDiff_MeanCos,attack_Steering,attack_ICL,attack_GCG,attack_MIA,attack_MIA_MinK,attack_MIA_Ref,attack_RepSimilarity,attack_SPV_MIA,attack_Steering_ASR,attack_Steering_retain_wf,mia_forget_nll,mia_retain_nll,has_attacks,verified
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,Base,william_shakespeare,0.0803,,,0.7000,0.9068,0.9068,0.8234,0.3949,0.3516,0.4244,0.1777,0.0585,True,0.1696,0.9357,233.9242,1.8914,30.4391,0.3804,0.4952,0.0000,0.0000,0.9384,,,1.0000,,0.3728,,,,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,harry_potter,0.0000,,,0.0000,0.9360,0.9360,0.8773,0.2753,0.2525,0.4633,0.1239,0.0414,True,0.0047,0.9983,244.3463,1.1179,10.8491,0.5411,0.5000,0.0000,0.0000,0.1192,0.0248,0.0936,0.2224,0.7400,0.0000,0.0000,110.9872,96.4687,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,star_wars,0.0000,,,0.0000,0.9013,0.9013,0.8133,0.4170,0.3697,0.6544,0.1877,0.0532,True,0.0109,0.9962,482.1002,1.7607,11.9734,0.3529,0.5000,0.0000,0.0000,0.4608,0.0192,0.4376,0.9376,0.9000,0.0000,0.0000,376.7766,369.6932,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,GradAscent,william_shakespeare,0.0000,,,0.0000,0.9339,0.9339,0.8754,0.2839,0.2548,0.5167,0.1277,0.0624,True,0.0045,0.9984,246.5710,1.1934,9.4564,0.5470,0.5000,0.0000,0.2000,0.1848,0.0144,0.1720,0.2704,0.6800,0.0000,0.0000,107.6352,90.8819,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,harry_potter,0.0040,,,0.3500,0.8845,0.8845,0.7834,0.4837,0.4218,0.6410,0.2177,0.0538,True,0.2398,0.9145,280.8254,1.9568,39.1155,0.3178,0.7296,0.0000,0.0000,0.8608,0.8360,0.8200,0.8448,0.9800,0.1943,0.0017,4.3775,11.3956,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,star_wars,0.1165,,,0.4500,0.8342,0.8342,0.7005,0.6757,0.5477,0.7553,0.3041,0.1046,True,0.3317,0.8881,288.6084,2.4269,38.4445,0.2466,0.6768,0.0000,1.0000,0.9648,0.6400,0.9464,0.6040,0.9800,0.3434,0.1524,4.1140,12.2918,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,DPO,william_shakespeare,0.0196,,,0.3500,0.8954,0.8954,0.8028,0.4406,0.3891,0.5954,0.1983,0.0428,True,0.2247,0.9202,264.6384,2.0810,36.3752,0.3711,0.9112,0.0400,0.0000,0.8712,0.8536,0.7960,0.7448,0.9200,0.2381,0.0019,3.5458,7.3003,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,harry_potter,0.1981,,,0.6500,0.8626,0.8626,0.7487,0.5686,0.4778,0.5785,0.2559,0.0694,True,0.2168,0.9150,216.0262,2.1403,28.8045,0.2931,0.7440,0.0000,1.0000,0.8048,0.9048,0.4776,0.0440,0.9400,0.3744,0.1422,1.7232,3.4352,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,star_wars,0.1889,,,0.4000,0.8459,0.8459,0.7179,0.6320,0.5240,0.5471,0.2844,0.0889,True,0.2461,0.9040,220.2123,2.2620,24.3357,0.2416,0.7824,0.0000,0.0000,0.8712,0.7752,0.5680,0.0520,0.9400,0.3244,0.0867,2.0360,3.4600,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO,william_shakespeare,0.1052,,,0.6500,0.9131,0.9131,0.8353,0.3696,0.3311,0.4382,0.1663,0.0504,True,0.2157,0.9208,215.5799,1.7654,28.2059,0.4204,0.7064,0.0400,1.0000,0.7704,0.8888,0.3136,0.1392,0.9200,0.4330,0.1931,2.5018,3.6195,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,harry_potter,0.3495,,,0.6000,0.8650,0.8650,0.7515,0.5594,0.4736,0.5730,0.2517,0.0630,True,0.2194,0.9157,213.8953,2.0736,29.4352,0.3025,0.9344,0.0000,0.0000,0.4816,0.5596,0.0000,0.6496,0.9400,0.4577,0.0296,1.7097,1.3253,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,star_wars,0.1672,,,0.5000,0.8379,0.8379,0.7056,0.6620,0.5416,0.5847,0.2979,0.0978,True,0.2454,0.9036,224.2507,2.1689,25.6921,0.2296,0.8216,0.0000,0.8000,0.2464,0.3724,0.0136,0.3880,0.9400,0.2103,0.0561,2.0852,1.3870,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,NPO+KL,william_shakespeare,0.1446,,,0.6500,0.9080,0.9080,0.8259,0.3902,0.3477,0.4559,0.1756,0.0521,True,0.2180,0.9181,215.9421,1.8069,28.5911,0.4142,0.8744,0.0000,0.0000,0.2184,0.5944,0.0400,0.5448,0.9200,0.4491,0.0702,2.7331,1.4248,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,harry_potter,0.0000,,,0.0000,0.9613,0.9613,0.9242,0.1687,0.1608,0.5442,0.0759,0.0240,True,0.4936,0.8400,0.2528,0.7964,0.0579,0.5945,,,0.0000,,0.8808,0.5896,0.4072,0.9800,,,,,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,star_wars,0.0928,,,0.4500,0.7828,0.7828,0.8047,0.8604,0.3536,0.4034,0.3872,0.3704,True,0.0121,0.9827,108.0944,0.2076,6.9842,0.4534,0.7840,0.0000,1.0000,0.8544,0.8728,0.4224,0.3344,0.9800,0.2626,0.1045,1.9281,3.2602,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,RMU,william_shakespeare,0.0820,,,0.7000,0.8747,0.8747,0.7686,0.5222,0.4394,0.4722,0.2350,0.1068,True,0.1111,0.9545,187.9693,1.8777,21.8345,0.3342,0.6336,0.0400,0.8000,0.7848,0.9032,0.2608,0.3416,0.9200,0.3637,0.2182,2.2652,3.4111,True,True
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,harry_potter,0.2580,,,0.6000,0.8639,0.8639,0.7495,0.5636,0.4770,0.6043,0.2536,0.0628,True,0.2182,0.9159,213.8013,2.1393,27.9595,0.3044,0.9432,0.0000,0.0000,0.4952,0.5440,0.0000,0.6664,0.9400,0.3096,0.0253,1.7408,1.3653,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,star_wars,0.1721,,,0.4000,0.8428,0.8428,0.7125,0.6437,0.5330,0.5666,0.2897,0.0844,True,0.2455,0.9026,221.0573,2.2993,24.4410,0.2317,0.8448,0.0000,0.0000,0.2184,0.3632,0.0024,0.4920,0.9400,0.2050,0.0422,2.1273,1.2893,True,False
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,WHP,william_shakespeare,0.2073,,,0.7000,0.8998,0.8998,0.8116,0.4230,0.3735,0.5551,0.1903,0.0472,True,0.2377,0.9149,243.3023,1.9104,30.3607,0.4038,0.8808,0.0400,0.0000,0.2448,0.5944,0.0424,0.5776,0.9200,0.4054,0.0477,2.6224,1.4160,True,False
