layer,metric,attack,rho,pval,n,family
4,AnonDiff_MeanCos,Steering,-0.04895104895104895,0.8799185788786749,12,entropy
4,AnonDiff_MeanCos,ICL,0.5937710859953544,0.04179521900345339,12,entropy
4,AnonDiff_MeanCos,GCG,0.3754977181653353,0.22904232472888109,12,entropy
4,AnonDiff_MeanCos,MIA,-0.5104895104895105,0.08991373630263913,12,entropy
4,AnonDiff_MeanL2,Steering,-0.1958041958041958,0.5419358857313175,12,entropy
4,AnonDiff_MeanL2,ICL,0.3382695883852322,0.28216401173268096,12,entropy
4,AnonDiff_MeanL2,GCG,0.802534338823952,0.0016794207429574788,12,entropy
4,AnonDiff_MeanL2,MIA,0.23076923076923078,0.470531995381542,12,entropy
4,NormAnonDiff_S_alpha_2,Steering,0.1398601398601399,0.6646331617926677,12,entropy
4,NormAnonDiff_S_alpha_2,ICL,-0.41743906651794616,0.1769584369228486,12,entropy
4,NormAnonDiff_S_alpha_2,GCG,-0.802534338823952,0.0016794207429574788,12,entropy
4,NormAnonDiff_S_alpha_2,MIA,0.31468531468531474,0.31913878550330455,12,entropy
4,NormAnonDiff_MeanCos,Steering,-0.04895104895104895,0.8799185788786749,12,entropy
4,NormAnonDiff_MeanCos,ICL,0.5937710859953544,0.04179521900345339,12,entropy
4,NormAnonDiff_MeanCos,GCG,0.3754977181653353,0.22904232472888109,12,entropy
4,NormAnonDiff_MeanCos,MIA,-0.5104895104895105,0.08991373630263913,12,entropy
5,Centroid_Norm,Steering,-0.16083916083916086,0.6175234895401425,12,auss
5,Centroid_Norm,ICL,0.3814529400939853,0.2211459448335895,12,auss
5,Centroid_Norm,GCG,0.40494851959006745,0.191611357379026,12,auss
5,Centroid_Norm,MIA,-0.3076923076923077,0.3305892594121097,12,auss
5,Global_Coherence,Steering,-0.16083916083916086,0.6175234895401425,12,auss
5,Global_Coherence,ICL,0.3814529400939853,0.2211459448335895,12,auss
5,Global_Coherence,GCG,0.40494851959006745,0.191611357379026,12,auss
5,Global_Coherence,MIA,-0.3076923076923077,0.3305892594121097,12,auss
5,Batch_SecondMoment_TopEig,Steering,-0.16083916083916086,0.6175234895401425,12,auss
5,Batch_SecondMoment_TopEig,ICL,0.3814529400939853,0.2211459448335895,12,auss
